2.77,3.44,0,2.43,0,0.03,1.07,1.13,0.44,0.87,0,2.08,791.96,1986.64,284.62,127.43,0,0.89,0.31,0.25,0,0,0,0.37,1.12,0.05,0,0,2.03,7.8,0,0,0,0.14,1.41,0.63,0.18,0.1,0.19,0,0.26,0.08,0.25,1.24,0.02,0.08,2.58,4.78,0,0.03,0,0.06
1.29,5.84,1.99,4.88,0.15,0.09,0.17,5,0.78,1.36,0.26,0.21,907.58,3524.46,283.33,146.06,0,0.5,0.87,0,0.11,0.03,1.15,0.66,2.05,0.09,0.6,0,1.41,3.18,0,0.56,0.32,0.09,0.47,20.82,0.77,0.07,0.46,0.12,1.09,0.21,0.73,0.27,0.06,0,1.99,1.33,0.16,0.23,0,0.02
1.07,5.04,4.64,2.27,0.11,0.43,0.23,3.05,0.6,1.36,0.18,11.86,751.25,3958.72,189.72,121.01,0,0.73,0.77,0.19,0.08,0.08,1.99,0.77,2.49,0.24,1.65,0,4.53,9.55,0,5.6,3.16,0.27,2.69,16.31,0.99,0.35,1.25,0.33,0.57,0,0.72,0.8,0.08,0.14,3.88,3.34,1.36,0.7,0,0.37
1.87,5.18,2.52,3.99,0.22,0.09,0.59,3.18,0.65,1.19,0.17,10.66,691.76,2959,319.16,115.3,0,2.35,0.68,0.53,0,0.05,1.07,0.95,1.64,0.08,0.4,0,4.64,16.48,0,1.04,4.31,0.21,0.64,11.63,0.9,0.31,1.15,0.19,0.44,0.85,0.46,0.1,0.07,0,0.79,1.69,0.18,0.09,0,0.61
1.04,5.26,2.97,4.5,0.2,0.13,0.08,2.22,0.98,1.33,0.15,35.85,1310.42,3943.53,266.34,215.23,0,4.43,0.72,0,0.12,0.08,1.95,0.8,10.81,0.26,3.15,0,6.76,0,0,4.59,1.02,0.29,1.54,21.82,0.59,0.29,0.75,0.54,0.35,0.23,0.16,0.76,0.1,0.35,13.37,5.49,0.61,1.58,0,0.38
1.5,3.87,1,4.31,0.15,0.12,0.12,3.5,0.69,0.89,0.27,19.66,938.49,3623.7,216.85,184.12,0,1.64,0.91,0,0.01,0.05,0.91,0.83,3.91,0.14,0.92,0,4.38,8.91,0,1.05,1.24,0.09,0.7,8.38,0.91,0.23,0.75,0.2,0.21,1.08,1.28,0.12,0.13,0,1.19,1.86,0.23,0.16,0,0.77
3.04,3.3,0,3.04,0.14,0.06,0.03,1.41,0.61,0.75,0.12,5.65,803.68,1647.63,275.75,120.34,0,0.95,0.45,0.25,0.18,0.02,0.33,0.76,0.88,0.02,0.02,0,2.25,7.21,0,0.07,0.03,0.03,1.28,1.96,0.41,0,0.14,0,0.38,0.11,0.18,0.91,0.02,0,1.74,3.52,0,0,0,0.05
0.76,4.88,0,4.02,0,0.05,0.17,4.23,0.83,1.19,0.02,0.02,896.3,3156.01,199.62,111.65,0.07,0.2,0.63,0,0,0,0.06,0.2,1.75,0.07,1.01,0,0,3.17,0,0.47,0.13,0.07,0.44,22.53,0.32,0.19,0.53,0.16,1.68,0.24,0.58,0.29,0.06,0,1.51,1.51,0.09,0.48,0,0.03
0.81,5.61,0.74,4.01,0,0.3,0.32,3.18,1.52,1.64,0.09,7,852.17,4313.24,192.26,133.5,0.11,0.62,0.52,0.18,0.13,0.02,0.39,0.43,2.33,0.18,2.8,0,5.46,10.53,0,8.77,3.64,0.18,2.83,15.3,0.69,0.41,1.27,0.28,0.3,0.26,0.72,0.84,0.11,0,3.74,4.03,2.57,0.96,0,0.53
1.63,5.17,0.27,4.19,0,0.07,0.21,3.34,0.48,1.29,0.04,4.25,944.94,3306.15,186.98,85.96,0.08,1.72,0.63,0.42,0,0,0.18,0.56,1.52,0.12,0.59,0,2.1,5.78,0,0.89,3.54,0.12,0.43,11.83,0.45,0.21,0.7,0.1,0.46,0.29,0.48,0.11,0.02,0,0.55,2.06,0.12,0.21,0,0.42
