1.34,9.34,1.71,0.41,2.56,7.56,0.049,0.045,7.21,5.15,0.040,0.18,1.33,0.018,1.79,49.91,0.14,0.016,3.30,37.50,2.38,131.65,0.066,63.36,2.52,4.09,0.0229,10.21
1.71,4.86,2.89,0.90,7.85,24.32,0.058,0.096,7.26,1.50,0.396,0.23,0.38,0.109,0.79,78.66,0.08,0.022,3.94,18.08,1.57,115.32,0.097,142.88,1.48,6.08,0.0101,5.07
1.16,5.45,0.77,0.25,27.93,97.31,0.091,0.080,4.32,1.09,0.085,0.13,0.28,0.193,1.83,35.52,0.13,0.008,3.26,10.01,0.32,60.40,0.084,45.88,0.16,0.88,0.0080,14.99
1.36,1.41,1.00,0.47,10.80,31.89,0.282,0.089,1.15,2.98,0.045,1.45,1.22,5.269,0.77,25.59,0.53,0.020,3.72,5.84,0.08,26.62,0.090,24.14,0.03,0.84,0.0179,13.25
1.04,5.57,0.75,0.14,20.36,48.52,0.049,0.337,5.11,2.68,0.044,0.12,0.75,0.047,0.19,28.99,0.10,0.004,2.28,3.07,0.03,21.84,0.017,38.81,0.01,1.24,0.0061,8.74
1.03,3.31,1.24,0.40,2.50,7.75,0.043,0.025,11.20,5.66,0.113,0.32,1.75,0.040,0.99,65.02,1.64,0.016,4.32,39.39,0.94,92.18,0.047,39.63,1.50,3.02,0.0088,6.94
1.06,1.77,0.69,0.16,10.14,46.51,0.030,0.046,3.33,1.76,0.021,0.06,0.52,0.020,2.19,31.11,0.07,0.007,1.31,6.18,1.56,26.66,0.033,27.99,3.52,1.36,0.0066,7.41
1.49,5.51,0.98,0.28,19.53,52.80,0.072,0.057,4.58,3.21,0.029,0.08,1.33,0.020,3.15,20.11,0.12,0.009,2.71,8.21,0.04,51.80,0.067,35.05,0.01,1.08,0.0147,15.52
1.55,10.97,1.32,0.59,3.41,18.52,0.061,0.056,4.74,3.56,0.052,0.16,1.83,0.026,4.64,55.13,0.07,0.027,4.35,23.68,0.19,85.79,0.067,53.81,0.07,2.85,0.0178,44.86
1.93,10.37,1.65,0.83,5.11,21.05,0.104,0.077,14.33,15.35,0.031,0.46,20.63,0.007,1.64,68.91,1.33,0.050,3.51,34.17,0.16,79.94,0.080,53.94,0.02,5.29,0.0046,47.99
1.20,2.26,0.85,0.25,3.53,6.75,0.032,0.037,3.08,3.91,0.015,0.22,3.70,0.010,0.60,20.22,0.20,0.014,3.61,4.54,0.12,26.26,0.040,29.08,0.03,0.82,0.0064,3.61
1.06,2.80,0.88,0.29,6.03,9.09,0.066,0.156,2.21,7.71,0.022,0.08,6.57,0.016,0.39,37.89,0.61,0.005,1.19,16.85,0.45,103.90,0.062,57.15,0.10,3.03,0.0084,2.27
0.54,6.50,1.35,0.34,5.75,16.43,0.021,0.036,11.73,2.42,0.057,0.24,0.57,0.039,7.29,36.39,0.04,0.012,7.85,16.80,1.55,149.18,0.030,103.79,13.25,31.37,0.0102,60.96
0.39,1.09,0.85,0.20,8.07,18.05,0.038,0.025,2.85,1.17,0.021,0.06,0.31,0.092,2.94,27.65,0.03,0.005,2.88,14.74,0.15,122.49,0.104,59.80,2.84,15.30,0.0045,15.85
2.23,6.25,2.82,1.35,5.13,15.02,0.315,0.068,1.35,3.27,0.260,1.25,1.55,3.516,1.47,75.11,0.08,0.066,10.18,27.68,6.57,192.54,0.131,129.36,1.62,11.56,0.0158,26.72
1.96,20.45,0.65,0.41,11.94,15.85,0.291,0.025,10.80,3.10,0.050,0.47,2.35,0.077,0.64,10.00,0.33,0.009,5.93,1.53,0.06,43.94,0.070,48.29,0.01,1.46,0.0086,28.99
1.04,2.83,1.40,0.46,6.76,15.57,0.157,0.023,0.82,3.14,0.103,0.23,1.37,0.101,0.30,56.23,0.04,0.013,5.73,25.67,1.49,192.24,0.055,135.32,0.27,4.45,0.0076,17.41
1.20,21.08,2.29,0.32,15.16,34.73,0.038,0.096,19.29,2.73,0.058,0.35,0.95,0.115,1.94,43.55,0.13,0.012,3.02,10.00,1.22,95.56,0.046,113.37,6.64,5.13,0.0121,13.03
